iter	RMSE
0	46.36157957
1	42.13991169
2	38.44921758
3	35.11175867
4	32.29938217
5	29.82493364
6	27.62127622
7	25.67694948
8	23.98134185
9	22.41942084
10	21.08131636
11	19.88501469
12	18.80771599
13	17.86637821
14	17.03537866
15	16.30245803
16	15.64554471
17	15.06835537
18	14.53698592
19	14.08005581
20	13.69096803
21	13.3414739
22	13.02691619
23	12.76050174
24	12.52587717
25	12.31483793
26	12.13163674
27	11.97326861
28	11.82668671
29	11.70337932
30	11.59054869
31	11.49194286
32	11.38465042
33	11.29995621
34	11.22600867
35	11.15361671
36	11.08832627
37	11.03202102
38	10.97392013
39	10.9167127
40	10.87060939
41	10.80418613
42	10.76576733
43	10.71182736
44	10.67448398
45	10.61276105
46	10.57971657
47	10.54041184
48	10.50228941
49	10.43897279
50	10.40941087
51	10.33745776
52	10.30729691
53	10.28029859
54	10.25531295
55	10.22741261
56	10.17337043
57	10.11819745
58	10.0732437
59	10.05140956
60	10.02731173
61	10.00934501
62	9.98983008
63	9.926258062
64	9.877751257
65	9.835990773
66	9.815593459
67	9.785170366
68	9.769328914
69	9.737423702
70	9.704812074
71	9.678986278
72	9.666574486
73	9.648483534
74	9.636249235
75	9.613880505
76	9.593618294
77	9.579870614
78	9.568017003
79	9.543616195
80	9.536881484
81	9.515455151
82	9.502779098
83	9.488324817
84	9.475959221
85	9.450001661
86	9.408377969
87	9.393941899
88	9.385478877
89	9.376453437
90	9.346436755
91	9.33271824
92	9.29938123
93	9.249755524
94	9.203776874
95	9.19448832
96	9.1872763
97	9.175976186
98	9.162317609
99	9.151391781
100	9.148285675
101	9.130952999
102	9.096156863
103	9.065835819
104	9.055846289
105	9.035805949
106	9.032550493
107	8.997361472
108	8.988203549
109	8.956581967
110	8.943625472
111	8.935441716
112	8.914727267
113	8.881724355
114	8.843879982
115	8.837066111
116	8.82980913
117	8.810809537
118	8.778083773
119	8.767949217
120	8.732909696
121	8.719345208
122	8.701004457
123	8.675149274
124	8.664869452
125	8.65486884
126	8.647302355
127	8.646686763
128	8.631040157
129	8.620761513
130	8.614301112
131	8.587906037
132	8.581297613
133	8.55953502
134	8.538802137
135	8.525162856
136	8.5206335
137	8.510988058
138	8.50071763
139	8.486528316
140	8.462958609
141	8.456443183
142	8.445145918
143	8.427660749
144	8.418654242
145	8.413882606
146	8.401986983
147	8.393587794
148	8.391402454
149	8.381349635
150	8.366796168
151	8.346103935
152	8.321948507
153	8.321337654
154	8.314619767
155	8.292597208
156	8.283862879
157	8.275757891
158	8.264102136
159	8.260975496
160	8.253421655
161	8.244061226
162	8.222917926
163	8.216538729
164	8.197914386
165	8.193247216
166	8.185663944
167	8.174344513
168	8.167011918
169	8.166592531
170	8.159257754
171	8.153789262
172	8.138704137
173	8.117155427
174	8.111270986
175	8.096391489
176	8.087525894
177	8.069640727
178	8.064999877
179	8.049276736
180	8.041609682
181	8.025561312
182	8.020077156
183	8.005674345
184	7.993077529
185	7.991560927
186	7.983823648
187	7.977932937
188	7.973806998
189	7.970212824
190	7.962420122
191	7.956493972
192	7.937260093
193	7.921158644
194	7.91545283
195	7.903341187
196	7.894239624
197	7.886776216
198	7.872245129
199	7.861665539
200	7.858562621
201	7.857090003
202	7.853652868
203	7.849412741
204	7.841759448
205	7.835588744
206	7.828866257
207	7.826829858
208	7.825207629
209	7.819755854
210	7.815501904
211	7.807994947
212	7.796579732
213	7.79161407
214	7.777439724
215	7.768539711
